id,url,title,text,title_vector,content_vector,vector_id
1,https://simple.wikipedia.org/wiki/April,April,"April is the fourth month of the year in the Julian and Gregorian calendars, and comes between March and May. It is one of four months to have 30 days.",,,
April always begins on the same day of week as July, and additionally, January in leap years. April always ends on the same day of the week as December.,,,,
April's flowers are the Sweet Pea and Daisy. Its birthstone is the diamond. The meaning of the diamond is innocence.,,,,,,
The Month ,,,,,,
April comes between March and May, making it the fourth month of the year. It also comes first in the year out of the four months that have 30 days, as June, September and November are later in the year.,,,
April begins on the same day of the week as July every year and on the same day of the week as January in leap years. April ends on the same day of the week as December every year, as each other's last days are exactly 35 weeks (245 days) apart.,,,,,
In common years, April starts on the same day of the week as October of the previous year, and in leap years, May of the previous year. In common years, April finishes on the same day of the week as July of the previous year, and in leap years, February and October of the previous year. In common years immediately after other common years
In years immediately before common years, April starts on the same day of the week as September and December of the following year, and in years immediately before leap years, June of the following year. In years immediately before common years, April finishes on the same day of the week as September of the following year, and in years immediately before leap years, March and June of the following year.
April is a spring month in the Northern Hemisphere and an autumn/fall month in the Southern Hemisphere. In each hemisphere, it is the seasonal equivalent of October in the other.,,,,,
"It is unclear as to where April got its name. A common theory is that it comes from the Latin word """"aperire"""""," meaning """"to open""""", referring to flowers opening in spring. Another theory is that the name could come from Aphrodite, the Greek goddess of love. It was originally the second month in the old Roman Calendar, before the start of the new year was put to January 1.,,
Quite a few festivals are held in this month. In many Southeast Asian cultures, new year is celebrated in this month (including Songkran). In Western Christianity, Easter can be celebrated on a Sunday between March 22 and April 25. In Orthodox Christianity, it can fall between April 4 and May 8. At the end of the month, Central and Northern European cultures celebrate Walpurgis Night on April 30, marking the transition from winter into summer.,
April in poetry ,,,,,,
Poets use April to mean the end of winter. For example: April showers bring May flowers.,,,,,,
Events in April,,,,,,
Fixed Events ,,,,,,
 April 1 - April Fools' Day,,,,,,
 April 1 - Islamic Republic Day (Iran),,,,,,
 April 2 - International Children's Book Day,,,,,,
 April 2 - Thai Heritage and Conservation Day,,,,,,
 April 2 - World Autism Awareness Day,,,,,,
 April 2 - Malvinas Day (Argentina),,,,,,
 April 4 - Independence Day (Senegal),,,,,,
 April 4 - International Day for Landmine Awareness and Assistance,,,,,,
 April 4 - Peace Day (Angola),,,,,,
 April 5 - End of Tax Year (United Kingdom),,,,,,
 April 6 - Tartan Day (Canada and United States),,,,,,
 April 6 - Chakri Day (Thailand),,,,,,
 April 7 - Day of Maternity and Beauty (Armenia),,,,,,
 April 7 - Genocide Memorial Day (Rwanda),,,,,,
 April 7 - World Health Day,,,,,,
 April 7 - Women's Day (Mozambique),,,,,,
 April 8 - Buddha's Birthday (Buddhism),,,,,,
 April 9 - Martyrs' Day (Tunisia),,,,,,
 April 9 - Day of National Unity (Georgia),,,,,,
 April 9 - Day of the Finnish language,,,,,,
 April 12 - Cosmonauts' Day (Russia), marking the day of Yuri Gagarin's space flight,,,,,
 April 13 - Songkan (Laos), local New Year celebration,,,,,
 April 13 - Cambodian New Year,,,,,,
 April 13 - Thomas Jefferson's Birthday (United States),,,,,,
 April 14 - Southeast Asian New Year festivals, including Songkran,,,,,
 April 14 - Georgian language Day,,,,,,
 April 14 - Youth Day (Angola),,,,,,
 April 14 - Ambedkar Tayanti (India),,,,,,
 April 14 - Pan-American Day,,,,,,
 April 15 - Tax Day (United States),,,,,,
 April 15 - Kim Il-Sung's Birthday (North Korea),,,,,,
 April 15 - Father Damien Day (Hawaii),,,,,,
 April 15 - Jackie Robinson Day (Major League Baseball),,,,,,
 April 16 - Birthday of Queen Margrethe II of Denmark,,,,,,
 April 16 - Emancipation Day (Washington, DC),,,,,
 April 16 - World Voice Day,,,,,,
 April 16 - Selena Day (Texas),,,,,,
 April 17 - National Day of Syria,,,,,,
 April 17 - Flag Day (American Samoa),,,,,,
 April 17 - Women's Day (Gabon),,,,,,
 April 17 - World Hemophilia Day,,,,,,
 April 18 - Independence Day (Zimbabwe),,,,,,
 April 18 - Invention Day (Japan),,,,,,
 April 18 - International Day of Monuments and Sites,,,,,,
 April 19 - Bicycle Day,,,,,,
 April 19 - Dutch-American Friendship Day,,,,,,
 April 19 - Birthday of King Mswati III of Swaziland,,,,,,
 April 19 - Patriots' Day (Massachusetts, Maine, Wisconsin),,,,
 April 20 - 4/20 in Cannabis Culture,,,,,,
 April 21 - John Muir Day (California),,,,,,
 April 21 - San Jacinto Day (Texas),,,,,,
 April 21 - Kartini Day (Indonesia),,,,,,
 April 21 - National Tree Planting Day (Kenya),,,,,,
 April 21 - First Day of Ridran (Baha'i faith),,,,,,
 April 21 - Grounation Day (Rastafari movement),,,,,,
 April 22 - Earth Day,,,,,,
 April 22 - Discovery Day (Brazil),,,,,,
 April 23 - Saint George's Day, celebrating the patron saint of several countries, regions and cities (including England and Catalonia),,,,
 April 23 - World Book Day,,,,,,
 April 23 - National Sovereignty and Children's Day (Turkey),,,,,,
 April 24 - Democracy Day (Nepal),,,,,,
 April 24 - Genocide Day (Armenia),,,,,,
 April 24 - Republic Day (the Gambia),,,,,,
 April 25 - Australia and New Zealand celebrate ANZAC Day. ANZAC  means Australian and New Zealand Army Corps, and began in 1915.,,,,,
 April 25 - World DNA Day,,,,,,
 April 25 - World Malaria Day,,,,,,
 April 25 - Flag Day (Swaziland, Faroe Islands),,,,,
 April 25 - Freedom Day (Portugal),,,,,,
 April 25 - Liberation Day (Italy),,,,,,
 April 25 - Army Day (North Korea),,,,,,
 April 26 - Union Day (Tanzania),,,,,,
 April 26 - Confederate Memorial Day (Texas, Florida),,,,,
 April 27 - Independence Day (Sierra Leone and Togo),,,,,,
 April 27 - Freedom Day (South Africa),,,,,,
 April 27 - World Tapir Day,,,,,,
 April 27 - King's Day (Netherlands) from 2014, birthday of Willem-Alexander of the Netherlands,,,,,
 April 28 - Workers Memorial Day,,,,,,
 April 28 - National Day (Sardinia),,,,,,
 April 28 - National Heroes Day (Barbados),,,,,,
 April 29 - Showa Day (Japan), birthday of Emperor Hirohito, who died in 1989,,,,
 April 29 - International Dance Day,,,,,,
 April 30 - Former Queen's Day Holiday in the Netherlands (changed to King's Day, April 27 in 2014), was the birthday of former Queen Juliana of the Netherlands,,,,
 April 30 - Flag Day in Sweden (birthday of King Carl XVI Gustaf of Sweden),,,,,,
 April 30 - International Jazz Day,,,,,,
 April 30 - Walpurgis Night (Central and Northern Europe),,,,,,
Moveable Events ,,,,,,
 Easter-related events in Western Christianity:,,,,,,
 Palm Sunday (between March 15 and April 18),,,,,,
 Maundy Thursday (between March 19 and April 22),,,,,,
 Good Friday (between March 20 and April 23),,,,,,
 Easter Sunday (between March 22 and April 25),,,,,,
 Easter Monday (between March 23 and April 26),,,,,,
 Eastern Orthodox Easter falls between April 4 and May 8.,,,,,,
 Ascension Day (Western Christianity), falls between April 30 and June 3.,,,,,
